fecha,hora,temperatura
21/06/2019,11:15:56,36.94
21/06/2019,11:15:58,36.94
21/06/2019,11:16:00,36.94
21/06/2019,11:16:02,36.94
21/06/2019,11:16:04,36.94
21/06/2019,11:16:06,36.94
21/06/2019,11:16:08,36.94
21/06/2019,11:16:10,36.94
21/06/2019,11:16:12,36.94
21/06/2019,11:16:14,36.94
21/06/2019,11:16:16,36.94
21/06/2019,11:16:18,36.94
21/06/2019,11:16:20,36.94
21/06/2019,11:16:22,36.94
21/06/2019,11:16:24,36.94
21/06/2019,11:16:26,36.94
21/06/2019,11:16:28,36.94
21/06/2019,11:16:30,36.94
21/06/2019,11:16:32,36.94
21/06/2019,11:16:34,36.94
21/06/2019,11:16:36,36.94
21/06/2019,11:16:38,36.94
21/06/2019,11:16:40,36.94
21/06/2019,11:16:42,36.94
21/06/2019,11:16:44,36.94
21/06/2019,11:16:46,36.94
21/06/2019,11:16:48,37
21/06/2019,11:16:50,37
21/06/2019,11:16:52,37
21/06/2019,11:16:54,37
21/06/2019,11:16:56,37
21/06/2019,11:16:58,37
21/06/2019,11:17:00,37
21/06/2019,11:17:02,37
21/06/2019,11:17:04,37
21/06/2019,11:17:06,37
21/06/2019,11:17:08,37
21/06/2019,11:17:10,37
21/06/2019,11:17:12,37
21/06/2019,11:17:14,37
21/06/2019,11:17:16,37
21/06/2019,11:17:18,37
21/06/2019,11:17:20,37
21/06/2019,11:17:22,37
21/06/2019,11:17:24,37
21/06/2019,11:17:26,37
21/06/2019,11:17:28,37
21/06/2019,11:17:30,37
21/06/2019,11:17:32,37
21/06/2019,11:17:34,37
21/06/2019,11:17:36,37
21/06/2019,11:17:38,37.06
21/06/2019,11:17:40,37.06
21/06/2019,11:17:42,37.06
21/06/2019,11:17:44,37.06
21/06/2019,11:17:46,37.06
21/06/2019,11:17:48,37
21/06/2019,11:17:50,37.06
21/06/2019,11:17:52,37
21/06/2019,11:17:54,37.06
21/06/2019,11:17:56,37.06
21/06/2019,11:17:58,37.06
21/06/2019,11:18:00,37
21/06/2019,11:18:02,37.06
21/06/2019,11:18:04,37.06
21/06/2019,11:18:06,37.06
21/06/2019,11:18:08,37
21/06/2019,11:18:10,37.06
21/06/2019,11:18:12,37.06
21/06/2019,11:18:14,37.06
21/06/2019,11:18:16,37
21/06/2019,11:18:18,37.06
21/06/2019,11:18:20,37.06
21/06/2019,11:18:22,37.06
21/06/2019,11:18:24,37.06
21/06/2019,11:18:26,37.06
21/06/2019,11:18:28,37.06
21/06/2019,11:18:30,37.06
21/06/2019,11:18:32,37.06
21/06/2019,11:18:34,37.06
21/06/2019,11:18:36,37.06
21/06/2019,11:18:38,37.06
21/06/2019,11:18:40,37.06
21/06/2019,11:18:42,37.06
21/06/2019,11:18:44,37.06
21/06/2019,11:18:46,37.06
21/06/2019,11:18:48,37.06
21/06/2019,11:18:50,37.06
21/06/2019,11:18:52,37
21/06/2019,11:18:54,36.94
21/06/2019,11:18:56,36.94
21/06/2019,11:18:58,36.94
21/06/2019,11:19:00,36.94
21/06/2019,11:19:02,36.94
21/06/2019,11:19:04,36.94
21/06/2019,11:19:06,36.94
21/06/2019,11:19:08,36.94
21/06/2019,11:19:10,36.94
21/06/2019,11:19:12,36.94
21/06/2019,11:19:14,36.94
21/06/2019,11:19:16,36.94
21/06/2019,11:19:18,36.94
21/06/2019,11:19:20,36.94
21/06/2019,11:19:22,36.94
21/06/2019,11:19:24,36.94
21/06/2019,11:19:26,37
21/06/2019,11:19:28,37
21/06/2019,11:19:30,37
21/06/2019,11:19:32,37
21/06/2019,11:19:34,37
21/06/2019,11:19:36,37
21/06/2019,11:19:38,37
21/06/2019,11:19:40,37
21/06/2019,11:19:42,37
21/06/2019,11:19:44,37
21/06/2019,11:19:46,37
21/06/2019,11:19:48,37
21/06/2019,11:19:50,37
21/06/2019,11:19:52,37
21/06/2019,11:19:54,37
21/06/2019,11:19:56,37
21/06/2019,11:19:58,37
21/06/2019,11:20:00,37
21/06/2019,11:20:02,37
21/06/2019,11:20:04,37
21/06/2019,11:20:06,37
21/06/2019,11:20:08,37
21/06/2019,11:20:10,37
21/06/2019,11:20:12,37
21/06/2019,11:20:14,37
21/06/2019,11:20:16,37
21/06/2019,11:20:18,37
21/06/2019,11:20:20,37
21/06/2019,11:20:22,37
21/06/2019,11:20:24,37
21/06/2019,11:20:26,37
21/06/2019,11:20:28,37
21/06/2019,11:20:30,37
21/06/2019,11:20:32,37
21/06/2019,11:20:34,37
21/06/2019,11:20:36,37
21/06/2019,11:20:38,37
21/06/2019,11:20:40,37
21/06/2019,11:20:42,37
21/06/2019,11:20:44,37
21/06/2019,11:20:46,37
21/06/2019,11:20:48,37
21/06/2019,11:20:50,37
21/06/2019,11:20:52,37
21/06/2019,11:20:54,37
21/06/2019,11:20:56,37
21/06/2019,11:20:58,37
21/06/2019,11:21:00,37
21/06/2019,11:21:02,37
21/06/2019,11:21:04,37
21/06/2019,11:21:06,37
21/06/2019,11:21:08,37
21/06/2019,11:21:10,37
21/06/2019,11:21:12,37
21/06/2019,11:21:14,37
21/06/2019,11:21:16,37
21/06/2019,11:21:18,37
21/06/2019,11:21:20,37
21/06/2019,11:21:22,37
21/06/2019,11:21:24,37
21/06/2019,11:21:26,37
21/06/2019,11:21:28,37
21/06/2019,11:21:30,37
21/06/2019,11:21:32,37
21/06/2019,11:21:34,37
21/06/2019,11:21:36,37
21/06/2019,11:21:38,37
21/06/2019,11:21:40,37
21/06/2019,11:21:42,37.06
21/06/2019,11:21:44,37.06
21/06/2019,11:21:46,37.06
21/06/2019,11:21:48,37.06
21/06/2019,11:21:50,37.06
21/06/2019,11:21:52,37
21/06/2019,11:21:54,37
21/06/2019,11:21:56,37.06
21/06/2019,11:21:58,37.06
21/06/2019,11:22:00,37.06
21/06/2019,11:22:02,37.06
21/06/2019,11:22:04,37.06
21/06/2019,11:22:06,37.06
21/06/2019,11:22:08,37.06
21/06/2019,11:22:10,37.06
21/06/2019,11:22:12,37.06
21/06/2019,11:22:14,37.06
21/06/2019,11:22:16,37.06
21/06/2019,11:22:18,37.06
21/06/2019,11:22:20,37.06
21/06/2019,11:22:22,37.06
21/06/2019,11:22:24,37.06
21/06/2019,11:22:26,37.06
21/06/2019,11:22:28,37.06
21/06/2019,11:22:30,37.06
21/06/2019,11:22:32,37.06
21/06/2019,11:22:34,37.06
21/06/2019,11:22:36,37.06
21/06/2019,11:22:38,37.06
21/06/2019,11:22:40,37.06
21/06/2019,11:22:42,37.06
21/06/2019,11:22:44,37.06
21/06/2019,11:22:46,37.06
21/06/2019,11:22:48,37.06
21/06/2019,11:22:50,37.06
21/06/2019,11:22:52,37.06
21/06/2019,11:22:54,37.06
21/06/2019,11:22:56,37.06
21/06/2019,11:22:58,37.13
21/06/2019,11:23:00,37.13
21/06/2019,11:23:02,37.06
21/06/2019,11:23:04,37.13
21/06/2019,11:23:06,37.06
21/06/2019,11:23:08,37.06
21/06/2019,11:23:10,37.13
21/06/2019,11:23:12,37.06
21/06/2019,11:23:14,37.06
21/06/2019,11:23:16,37.13
21/06/2019,11:23:18,37.13
21/06/2019,11:23:20,37.13
21/06/2019,11:23:22,37.13
21/06/2019,11:23:24,37.13
21/06/2019,11:23:26,37.13
21/06/2019,11:23:28,37.13
21/06/2019,11:23:30,37.13
21/06/2019,11:23:32,37.13
21/06/2019,11:23:34,37.13
21/06/2019,11:23:36,37.13
21/06/2019,11:23:38,37.13
21/06/2019,11:23:40,37.13
21/06/2019,11:23:42,37.13
21/06/2019,11:23:44,37.13
21/06/2019,11:23:46,37.19
21/06/2019,11:23:48,37.13
21/06/2019,11:23:50,37.19
21/06/2019,11:23:52,37.13
21/06/2019,11:23:54,37.19
21/06/2019,11:23:56,37.19
21/06/2019,11:23:58,37.19
21/06/2019,11:24:00,37.19
21/06/2019,11:24:02,37.19
21/06/2019,11:24:04,37.19
21/06/2019,11:24:06,37.19
21/06/2019,11:24:08,37.19
21/06/2019,11:24:10,37.19
21/06/2019,11:24:12,37.19
21/06/2019,11:24:14,37.13
21/06/2019,11:24:16,37.19
21/06/2019,11:24:18,37.13
21/06/2019,11:24:20,37.13
21/06/2019,11:24:22,37.13
21/06/2019,11:24:24,37.13
21/06/2019,11:24:26,37.13
21/06/2019,11:24:28,37.13
21/06/2019,11:24:30,37.13
21/06/2019,11:24:32,37.13
21/06/2019,11:24:34,37.13
21/06/2019,11:24:36,37.13
21/06/2019,11:24:38,37.06
21/06/2019,11:24:40,37.06
21/06/2019,11:24:42,37.06
21/06/2019,11:24:44,37.06
21/06/2019,11:24:46,37.06
21/06/2019,11:24:48,37.06
21/06/2019,11:24:50,37.06
21/06/2019,11:24:52,37.06
21/06/2019,11:24:54,37.06
21/06/2019,11:24:56,37.06
21/06/2019,11:24:58,37.06
21/06/2019,11:25:00,37.06
21/06/2019,11:25:02,37.06
21/06/2019,11:25:04,37.06
21/06/2019,11:25:06,37.06
21/06/2019,11:25:08,37.06
21/06/2019,11:25:10,37.06
21/06/2019,11:25:12,37.06
21/06/2019,11:25:14,37.06
21/06/2019,11:25:16,37.06
21/06/2019,11:25:18,37.13
21/06/2019,11:25:20,37.13
21/06/2019,11:25:22,37.13
21/06/2019,11:25:24,37.13
21/06/2019,11:25:26,37.13
21/06/2019,11:25:28,37.13
21/06/2019,11:25:30,37.13
21/06/2019,11:25:32,37.13
21/06/2019,11:25:34,37.13
21/06/2019,11:25:36,37.13
21/06/2019,11:25:38,37.19
21/06/2019,11:25:40,37.19
21/06/2019,11:25:42,37.19
21/06/2019,11:25:44,37.19
21/06/2019,11:25:46,37.19
21/06/2019,11:25:48,37.19
21/06/2019,11:25:50,37.19
21/06/2019,11:25:52,37.19
21/06/2019,11:25:54,37.19
21/06/2019,11:25:56,37.19
21/06/2019,11:25:58,37.19
21/06/2019,11:26:00,37.19
21/06/2019,11:26:02,37.19
21/06/2019,11:26:04,37.19
21/06/2019,11:26:06,37.25
21/06/2019,11:26:08,37.19
21/06/2019,11:26:10,37.19
21/06/2019,11:26:12,37.19
21/06/2019,11:26:14,37.25
21/06/2019,11:26:16,37.25
21/06/2019,11:26:18,37.25
21/06/2019,11:26:20,37.25
21/06/2019,11:26:22,37.25
21/06/2019,11:26:24,37.19
21/06/2019,11:26:26,37.19
21/06/2019,11:26:28,37.25
21/06/2019,11:26:30,37.19
21/06/2019,11:26:32,37.25
21/06/2019,11:26:34,37.19
21/06/2019,11:26:36,37.25
